# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
25708e92946796f83e7e321432aff6a5aea50765	4.0	3.0	2.0	5.0	4.0	12.0	3.0	3.0	1.0	1.0	4.0	6.0	4.0	2.0	7.0	1.0	0.0	6.0	0.0	1.0	2.0	2.0	0.0	1.0
2ad5ebe2f3211175543b92669a60086495c3c822	0.0	39.0	4.0	0.0	3.0	0.0	1.0	14.0	10.0	5.0	1.0	1.0	0.0	0.0	17.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23f8f3c8f6e5917c771e4b21953f92ea5eabee6c	2.0	28.0	3.0	1.0	1.0	0.0	13.0	21.0	7.0	7.0	0.0	0.0	1.0	0.0	16.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
6e3d7f266811ed21529a81f60f092920da7a839d	4.0	72.0	20.0	2.0	2.0	0.0	22.0	48.0	41.0	49.0	1.0	2.0	1.0	0.0	29.0	0.0	22.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
ee4e1736f4e830d99a99968c2e8159f91c41eb0d	7.0	15.0	3.0	6.0	5.0	10.0	5.0	12.0	5.0	16.0	2.0	11.0	4.0	4.0	1.0	0.0	2.0	0.0	0.0	7.0	0.0	0.0	1.0	2.0
992b93755205c0b8125395c3cc320e5aa339ad8f	4.0	4.0	2.0	2.0	0.0	4.0	0.0	6.0	1.0	3.0	9.0	2.0	13.0	1.0	3.0	1.0	2.0	14.0	2.0	1.0	9.0	2.0	9.0	3.0
a60d90c5519ccdb648ca5ebc19f5763a3d7e9f06	3.0	3.0	0.0	4.0	0.0	0.0	1.0	2.0	0.0	1.0	2.0	1.0	7.0	0.0	4.0	1.0	1.0	5.0	1.0	0.0	2.0	4.0	2.0	1.0
4f5185d7af7a2d7bd2e0dbdf255933ddc59447cd	3.0	9.0	1.0	2.0	14.0	2.0	11.0	12.0	2.0	14.0	3.0	2.0	2.0	9.0	7.0	3.0	4.0	3.0	2.0	18.0	0.0	0.0	0.0	6.0
0ff8fdaca3f536e9f81e639b6a5d74b1d1b8fb7f	1.0	17.0	3.0	3.0	0.0	0.0	2.0	12.0	3.0	3.0	0.0	0.0	0.0	0.0	11.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3e20dd007beb85192a56be22307497bc29ae9757	2.0	1.0	14.0	1.0	14.0	0.0	4.0	0.0	4.0	7.0	0.0	0.0	1.0	2.0	2.0	0.0	5.0	0.0	0.0	10.0	0.0	0.0	1.0	19.0
